region,gender,education,policy_type,vehicle_class,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount
2183,central,f,bachelor,personal auto,two-door car,2487,28738,62,0.0,82
2184,central,m,high school or below,personal auto,sports car,9213,70958,115,0.0,115
2186,northeast,f,college,special auto,suv,7017,37707,103,0.0,742
2187,west,f,bachelor,corporate auto,four-door car,5482,70795,68,0.0,178
2188,central,f,master,personal auto,suv,10382,32821,129,0.0,26
2189,central,m,college,personal auto,four-door car,5499,22520,73,0.0,350
2190,central,m,high school or below,personal auto,four-door car,4846,37707,72,0.0,518
2191,northeast,m,college,corporate auto,four-door car,14718,56263,93,0.0,446
2192,central,m,bachelor,personal auto,four-door car,9657,37707,72,0.0,346
2193,west,m,college,personal auto,four-door car,4466,37707,64,0.0,307
2196,central,m,college,personal auto,four-door car,8378,40994,106,0.0,60
2197,central,m,bachelor,personal auto,four-door car,5093,29638,64,0.0,307
2198,northeast,f,college,personal auto,four-door car,13353,37707,119,0.0,730
2199,northeast,f,college,personal auto,four-door car,14207,26056,73,0.0,356
2200,northeast,f,doctor,personal auto,suv,10233,22821,131,0.0,740
2201,east,f,college,personal auto,four-door car,15436,84581,96,0.0,4
2202,west,f,high school or below,personal auto,two-door car,8641,22193,74,0.0,416
2206,northeast,m,college,corporate auto,two-door car,5526,73435,69,0.0,331
2207,northeast,m,high school or below,corporate auto,two-door car,4335,86096,108,0.0,518
2208,west,m,high school or below,personal auto,suv,4832,37707,139,0.0,1001
2209,northeast,m,master,personal auto,suv,9268,55808,116,0.0,551
2210,west,m,bachelor,personal auto,four-door car,14700,29695,94,0.0,554
2211,west,f,bachelor,corporate auto,four-door car,4905,88043,61,0.0,189
2212,west,m,college,personal auto,four-door car,7289,60875,92,0.0,411
2213,central,m,bachelor,personal auto,four-door car,8479,37707,77,0.0,13
2214,northeast,m,high school or below,personal auto,suv,7953,37707,118,0.0,850
2215,east,f,bachelor,personal auto,four-door car,2870,70974,71,0.0,341
2216,northeast,f,bachelor,special auto,sports car,10530,37518,131,0.0,473
2217,northeast,m,college,personal auto,two-door car,5498,28128,70,0.0,336
2222,central,f,master,personal auto,two-door car,4091,38884,102,0.0,424
2223,west,f,master,corporate auto,four-door car,5182,97131,64,0.0,307
2224,northeast,m,master,corporate auto,four-door car,6172,37707,84,0.0,403
2225,west,m,college,corporate auto,four-door car,2487,22331,64,0.0,61
2226,central,m,bachelor,corporate auto,suv,13094,37541,109,0.0,96
2227,northeast,f,bachelor,corporate auto,four-door car,4688,27357,61,0.0,293
2228,northeast,f,doctor,corporate auto,two-door car,2703,37707,72,0.0,42
2229,west,f,bachelor,personal auto,four-door car,11315,11885,101,0.0,485
2230,northeast,f,bachelor,corporate auto,four-door car,8680,52717,109,0.0,60
2231,central,f,high school or below,personal auto,four-door car,5980,57693,76,0.0,547
2232,northeast,f,high school or below,personal auto,suv,10997,37707,104,0.0,749
2233,central,f,bachelor,corporate auto,four-door car,11718,73903,73,0.0,439
2236,west,m,college,corporate auto,four-door car,2551,79452,65,0.0,188
2237,central,f,bachelor,personal auto,two-door car,10657,72540,88,0.0,632
2238,central,f,college,personal auto,suv,9333,89513,116,0.0,233
2239,east,m,college,personal auto,two-door car,7507,60920,64,0.0,231
2242,east,m,high school or below,corporate auto,suv,12299,17101,113,0.0,542
2245,central,m,bachelor,personal auto,two-door car,2810,26790,71,0.0,341
2246,west,m,bachelor,corporate auto,suv,15320,81955,126,0.0,720
2247,northeast,f,high school or below,personal auto,two-door car,8489,80213,70,0.0,440
2248,central,m,doctor,personal auto,four-door car,2379,37707,66,0.0,91
2251,east,m,doctor,corporate auto,four-door car,2383,37707,65,0.0,312
2252,northeast,m,high school or below,personal auto,two-door car,7813,72353,66,0.0,317
2253,west,f,high school or below,corporate auto,four-door car,14024,81872,115,0.0,256
2254,central,m,bachelor,corporate auto,two-door car,5335,74606,68,0.0,109
2255,northeast,m,high school or below,personal auto,suv,9700,37707,138,0.0,994
2256,west,m,high school or below,personal auto,two-door car,5703,41438,72,0.0,324
2258,central,m,high school or below,personal auto,suv,3398,37707,101,0.0,1184
2259,northeast,m,bachelor,personal auto,four-door car,11044,44524,70,0.0,201
2265,northeast,f,high school or below,personal auto,four-door car,9905,37707,66,0.0,475
2266,west,f,high school or below,corporate auto,suv,7432,37707,102,0.0,1037
2267,central,m,bachelor,personal auto,four-door car,8151,37707,114,0.0,1310
2268,west,m,high school or below,personal auto,two-door car,4956,87197,63,0.0,247
2269,west,m,bachelor,personal auto,sports car,6537,37707,100,0.0,720
2270,west,f,high school or below,personal auto,sports car,9449,85221,117,0.0,517
2272,west,f,bachelor,personal auto,four-door car,2409,37707,66,0.0,317
2274,west,f,high school or below,personal auto,four-door car,4398,37707,62,0.0,382
2275,northeast,f,bachelor,personal auto,suv,5470,54507,138,0.0,703
2279,west,m,high school or below,personal auto,four-door car,2561,30027,65,0.0,312
2281,west,m,high school or below,personal auto,four-door car,6439,37707,93,0.0,670
2282,west,m,college,corporate auto,two-door car,7079,23222,90,0.0,253
2283,west,f,college,corporate auto,four-door car,2418,37707,65,0.0,468
2287,central,f,high school or below,personal auto,two-door car,11218,69268,93,0.0,19
2289,central,m,high school or below,personal auto,four-door car,2592,72421,65,0.0,312
2290,northeast,f,master,corporate auto,two-door car,2601,37707,71,0.0,17
2291,central,m,bachelor,personal auto,two-door car,8433,57961,72,0.0,39
2292,west,m,college,personal auto,four-door car,2968,35205,76,0.0,179
2293,northeast,m,master,personal auto,four-door car,5380,37707,74,0.0,59
2294,northeast,m,high school or below,personal auto,four-door car,8060,72309,68,0.0,245
2297,west,f,college,corporate auto,suv,8178,29057,102,0.0,490
2298,northeast,f,bachelor,personal auto,four-door car,2353,37707,66,0.0,501
2299,west,m,bachelor,personal auto,suv,8059,25595,101,0.0,485
2300,northeast,m,bachelor,personal auto,four-door car,8012,58058,67,0.0,355
2302,central,f,college,personal auto,four-door car,5907,37707,81,0.0,390
2303,west,f,bachelor,corporate auto,four-door car,8258,23815,73,0.0,424
2306,northeast,m,college,personal auto,four-door car,3795,19794,105,0.0,504
2307,central,m,bachelor,personal auto,four-door car,2537,92401,64,0.0,50
2308,northeast,m,bachelor,corporate auto,suv,8026,37707,109,0.0,898
2310,east,f,college,personal auto,four-door car,5257,77693,65,0.0,225
2313,east,m,college,personal auto,suv,4313,43386,111,0.0,413
2314,west,m,bachelor,corporate auto,two-door car,5557,29120,72,0.0,346
2315,east,m,bachelor,personal auto,suv,8694,48893,110,0.0,788
2316,west,f,college,personal auto,suv,11831,92931,146,0.0,503
2317,east,f,college,corporate auto,four-door car,4506,15462,115,0.0,612
2318,east,m,bachelor,personal auto,two-door car,4160,37707,62,0.0,446
2319,east,m,college,personal auto,suv,4462,70088,112,0.0,536
2320,northeast,m,college,personal auto,four-door car,2515,25558,63,0.0,454
2321,central,f,high school or below,corporate auto,sports car,8007,37707,112,0.0,538
2322,east,m,master,personal auto,suv,9901,37707,134,0.0,643
2323,east,f,bachelor,corporate auto,suv,12283,36328,155,0.0,388
2325,west,m,bachelor,personal auto,suv,8185,69114,103,0.0,162
2326,northeast,f,high school or below,personal auto,suv,16008,45302,133,0.0,638
2327,central,m,high school or below,personal auto,four-door car,6362,37707,88,0.0,111
2328,west,f,college,personal auto,suv,8737,53173,112,0.0,1169
2330,central,f,bachelor,personal auto,four-door car,4376,63774,111,0.0,60
2331,west,m,college,corporate auto,suv,9294,67544,116,0.0,557
2332,west,m,college,personal auto,four-door car,2543,26691,65,0.0,312
2333,east,f,high school or below,special auto,four-door car,6582,37707,62,0.0,298
2334,west,m,college,corporate auto,suv,4686,58089,118,0.0,566
2335,central,m,bachelor,personal auto,suv,14325,37707,136,0.0,653
2336,west,m,bachelor,personal auto,four-door car,12743,99583,64,0.0,100
2337,west,m,bachelor,personal auto,four-door car,2434,37707,68,0.0,271
2340,west,f,high school or below,personal auto,four-door car,2754,37707,73,0.0,299
2341,central,f,college,personal auto,suv,8653,20588,113,0.0,586
2342,northeast,m,bachelor,corporate auto,four-door car,7058,37840,90,0.0,432
2343,northeast,f,bachelor,personal auto,four-door car,5907,43440,74,0.0,128
2345,west,f,high school or below,personal auto,four-door car,4974,37707,70,0.0,336
2346,northeast,m,high school or below,personal auto,sports car,4269,43209,110,0.0,528
2347,west,f,high school or below,personal auto,suv,4602,37308,115,0.0,552
2348,central,m,master,personal auto,four-door car,2405,22239,62,0.0,298
2350,central,m,high school or below,personal auto,suv,4624,97065,117,0.0,562
2351,northeast,m,college,personal auto,two-door car,5470,24910,69,0.0,746
2353,central,f,high school or below,personal auto,sports car,15957,61148,132,0.0,98
2354,central,f,bachelor,corporate auto,two-door car,9276,52494,119,0.0,571
2355,central,m,high school or below,personal auto,suv,7595,20538,104,0.0,499
2358,east,m,bachelor,personal auto,two-door car,2810,26790,71,0.0,341
2359,northeast,m,bachelor,corporate auto,four-door car,2337,37707,65,0.0,468
2360,northeast,m,high school or below,personal auto,suv,4668,53252,117,0.0,562
2363,central,m,college,personal auto,four-door car,2479,81721,63,0.0,134
2365,west,m,bachelor,personal auto,four-door car,6282,42314,80,0.0,56
2366,west,f,bachelor,personal auto,suv,10954,89892,135,0.0,526
2369,west,f,doctor,personal auto,four-door car,5207,21576,65,0.0,312
2371,central,f,college,corporate auto,two-door car,2484,50632,62,0.0,55
2372,west,f,high school or below,personal auto,suv,4896,37707,139,0.0,1001
2374,central,m,college,personal auto,sports car,8760,28280,116,0.0,557
2375,west,f,high school or below,special auto,suv,11282,86195,139,0.0,602
2376,central,f,master,personal auto,suv,4316,89797,106,0.0,71
2377,central,m,college,personal auto,four-door car,4492,37707,63,0.0,302
2381,central,m,high school or below,personal auto,two-door car,8271,44656,70,0.0,336
2382,central,m,doctor,personal auto,suv,12732,40870,105,0.0,504
2383,west,m,college,corporate auto,sports car,4167,37707,117,0.0,95
2384,west,f,high school or below,personal auto,sports car,10455,28363,133,0.0,638
2385,west,f,bachelor,personal auto,four-door car,7074,94508,88,0.0,491
2386,northeast,m,high school or below,personal auto,four-door car,7046,37707,64,0.0,325
2387,northeast,m,doctor,personal auto,suv,13357,37707,124,0.0,696
2389,west,f,bachelor,corporate auto,sports car,8169,37707,116,0.0,835
2390,northeast,f,high school or below,personal auto,four-door car,8583,18017,114,0.0,547
2391,east,f,high school or below,personal auto,suv,12234,37707,117,0.0,931
2392,central,m,high school or below,corporate auto,four-door car,7186,63741,91,0.0,37
2394,northeast,f,high school or below,special auto,four-door car,2336,37707,67,0.0,459
2395,northeast,f,bachelor,personal auto,suv,7995,25239,100,0.0,151
2396,northeast,f,high school or below,special auto,two-door car,5898,29227,74,0.0,421
2397,west,f,bachelor,special auto,four-door car,3939,60021,99,0.0,883
2398,northeast,f,bachelor,personal auto,four-door car,2695,37707,73,0.0,781
2399,central,m,high school or below,special auto,four-door car,5459,83208,68,0.0,326
2400,northeast,f,bachelor,corporate auto,four-door car,10722,25983,90,0.0,432
2401,northeast,f,high school or below,corporate auto,four-door car,2491,25965,65,0.0,329
2402,central,f,college,personal auto,two-door car,5570,22679,72,0.0,346
2404,west,f,high school or below,personal auto,four-door car,7634,37707,67,0.0,446
2406,central,f,bachelor,personal auto,four-door car,4363,37707,63,0.0,302
2407,west,f,college,personal auto,four-door car,2527,33485,63,0.0,344
2408,east,f,high school or below,personal auto,four-door car,5123,58206,64,0.0,454
2409,northeast,m,high school or below,personal auto,two-door car,2484,87492,62,0.0,264
2410,northeast,m,bachelor,personal auto,four-door car,3489,37707,98,0.0,706
2412,northeast,f,college,corporate auto,four-door car,4841,23449,61,0.0,293
2416,west,m,high school or below,personal auto,four-door car,3096,53588,77,0.0,370
2417,west,m,doctor,corporate auto,suv,12732,40870,105,0.0,504
2418,central,m,bachelor,personal auto,two-door car,2632,37707,71,0.0,341
2420,east,f,high school or below,special auto,four-door car,2907,45128,72,0.0,67
2422,central,f,high school or below,personal auto,two-door car,7591,52823,95,0.0,126
2423,west,m,college,corporate auto,four-door car,5108,26784,67,0.0,482
2424,northeast,m,college,personal auto,suv,13990,22354,118,0.0,776
2425,northeast,m,college,personal auto,four-door car,3116,54420,80,0.0,576
2426,northeast,f,college,corporate auto,sports car,13369,50800,112,0.0,621
2428,central,m,college,corporate auto,four-door car,10359,84583,65,0.0,239
2430,west,f,bachelor,corporate auto,four-door car,4345,37707,63,0.0,463
2431,central,f,doctor,corporate auto,four-door car,5332,68931,66,0.0,310
2432,northeast,m,college,personal auto,four-door car,7692,37707,105,0.0,504
2435,northeast,f,college,personal auto,two-door car,11610,41503,73,0.0,15
2436,northeast,m,high school or below,personal auto,suv,8937,37707,126,0.0,605
2437,west,f,bachelor,personal auto,two-door car,2463,37707,69,0.0,427
2439,northeast,f,college,personal auto,sports car,4078,37707,116,0.0,835
2440,central,f,college,personal auto,four-door car,2869,40046,73,0.0,119
2441,west,f,high school or below,personal auto,suv,4428,58577,110,0.0,304
2444,west,f,college,personal auto,sports car,4905,12902,139,0.0,667
2445,northeast,f,high school or below,personal auto,suv,10828,62053,134,0.0,614
2446,central,f,bachelor,personal auto,four-door car,5745,30389,73,0.0,279
2447,central,m,bachelor,personal auto,two-door car,2423,15585,65,0.0,68
2449,west,f,college,personal auto,four-door car,4605,22571,63,0.0,302
2450,northeast,m,high school or below,personal auto,four-door car,2133,37707,61,0.0,692
2452,west,m,college,personal auto,four-door car,5824,73976,73,0.0,339
2453,northeast,f,bachelor,personal auto,four-door car,6890,30814,87,0.0,418
2454,central,f,bachelor,corporate auto,four-door car,3008,80681,74,0.0,355
2455,northeast,f,high school or below,personal auto,two-door car,3286,60934,82,0.0,394
2457,west,f,college,personal auto,four-door car,5166,80797,64,0.0,301
2458,northeast,m,college,personal auto,four-door car,2946,89410,74,0.0,96
2460,central,f,bachelor,personal auto,four-door car,4893,43199,61,0.0,334
2461,central,f,bachelor,personal auto,four-door car,3338,43510,83,0.0,238
2462,east,f,bachelor,personal auto,two-door car,5246,28909,66,0.0,457
2463,northeast,f,master,personal auto,sports car,9031,37707,122,0.0,651
2465,west,m,bachelor,personal auto,suv,9803,84429,123,0.0,115
2467,west,m,master,personal auto,four-door car,3203,68370,80,0.0,244
2469,northeast,f,high school or below,personal auto,suv,4145,64478,103,0.0,8
2470,east,f,high school or below,personal auto,four-door car,13771,59207,116,0.0,557
2471,central,f,high school or below,corporate auto,four-door car,3716,17162,96,0.0,461
2473,west,m,bachelor,personal auto,suv,12169,14973,115,0.0,828
2474,west,m,college,special auto,four-door car,2675,56342,69,0.0,331
2476,central,m,bachelor,personal auto,two-door car,4038,21586,106,0.0,1056
2477,northeast,f,high school or below,special auto,suv,8628,37707,117,0.0,842
2479,northeast,f,college,personal auto,four-door car,8217,84815,68,0.0,280
2482,northeast,f,bachelor,personal auto,four-door car,4766,37707,68,0.0,657
2484,west,f,college,corporate auto,two-door car,5171,37707,69,0.0,344
2485,west,m,bachelor,corporate auto,suv,3897,10853,104,0.0,350
2486,west,f,master,personal auto,four-door car,6005,23749,77,0.0,152
2488,west,m,bachelor,personal auto,four-door car,3055,37707,88,0.0,422
2489,northeast,m,college,personal auto,two-door car,4874,92783,61,0.0,7
2490,central,f,doctor,personal auto,four-door car,2747,83502,68,0.0,369
2493,central,m,doctor,personal auto,four-door car,8190,72191,68,0.0,209
2494,northeast,m,college,personal auto,two-door car,5225,57733,66,0.0,394
2495,central,m,doctor,personal auto,four-door car,7949,63688,99,0.0,475
2496,west,f,college,personal auto,four-door car,3135,55855,79,0.0,273
2497,northeast,f,bachelor,special auto,four-door car,3939,60021,99,0.0,883
2498,central,m,high school or below,corporate auto,two-door car,5326,37707,73,0.0,496
2500,east,m,bachelor,corporate auto,four-door car,3459,37707,96,0.0,461
2505,central,m,high school or below,corporate auto,two-door car,2756,43540,70,0.0,118
2506,central,f,bachelor,corporate auto,two-door car,7744,96961,64,0.0,81
2507,central,f,college,personal auto,suv,8170,32799,104,0.0,499
2508,central,f,bachelor,personal auto,suv,3570,37707,101,0.0,1201
2509,west,f,bachelor,personal auto,two-door car,10657,72540,88,0.0,632
2511,east,f,high school or below,personal auto,four-door car,2777,65431,69,0.0,331
2512,central,f,high school or below,corporate auto,suv,7550,37707,100,0.0,480
2513,east,m,bachelor,personal auto,four-door car,4727,37707,72,0.0,346
2514,central,m,high school or below,personal auto,four-door car,14275,37707,84,0.0,605
2515,west,f,high school or below,corporate auto,suv,9559,40672,121,0.0,581
2517,central,f,college,corporate auto,four-door car,5525,64816,69,0.0,331
2518,west,f,bachelor,corporate auto,four-door car,5923,36685,74,0.0,355
2521,central,m,master,special auto,two-door car,2585,60942,64,0.0,288
2525,northeast,f,high school or below,personal auto,four-door car,2491,25965,65,0.0,329
2526,central,f,bachelor,personal auto,four-door car,7432,27688,92,0.0,572
2527,northeast,f,high school or below,corporate auto,four-door car,7865,75490,97,0.0,43
2528,northeast,f,bachelor,personal auto,suv,15979,33871,136,0.0,934
2530,west,m,college,personal auto,suv,8662,85470,109,0.0,523
2531,east,m,college,personal auto,four-door car,5625,97095,70,0.0,208
2532,east,f,college,personal auto,suv,4592,73604,114,0.0,184
2533,west,m,bachelor,personal auto,suv,3710,37707,112,0.0,1083
2534,west,f,bachelor,personal auto,four-door car,8209,40646,103,0.0,494
2535,central,f,high school or below,personal auto,four-door car,5595,74454,71,0.0,341
2536,central,f,high school or below,personal auto,two-door car,3414,18168,87,0.0,418
2537,central,m,high school or below,personal auto,two-door car,6325,37707,89,0.0,615
2539,central,m,bachelor,personal auto,two-door car,8738,43597,110,0.0,528
2540,northeast,m,high school or below,personal auto,suv,4836,37707,140,0.0,672
2544,northeast,f,high school or below,personal auto,suv,15174,22448,126,0.0,605
2545,northeast,m,college,personal auto,four-door car,11124,42596,96,0.0,42
2546,northeast,m,bachelor,corporate auto,four-door car,4863,37707,70,0.0,647
2548,west,f,high school or below,personal auto,suv,4527,92921,112,0.0,109
2549,east,m,bachelor,personal auto,four-door car,2520,41372,64,0.0,307
2550,west,f,high school or below,personal auto,two-door car,4892,26660,63,0.0,454
2552,west,m,high school or below,corporate auto,sports car,8565,95697,107,0.0,178
2553,west,f,master,personal auto,suv,4420,37707,112,0.0,538
2555,east,m,bachelor,corporate auto,four-door car,5047,81741,64,0.0,186
2556,northeast,f,college,personal auto,four-door car,4913,48295,63,0.0,290
2557,central,f,high school or below,personal auto,four-door car,5799,65538,72,0.0,261
2558,northeast,m,college,personal auto,four-door car,5569,53997,69,0.0,345
2560,west,f,bachelor,personal auto,two-door car,2913,68899,74,0.0,66
2561,west,m,bachelor,corporate auto,four-door car,6980,37707,67,0.0,322
2562,central,f,high school or below,personal auto,four-door car,6769,37707,97,0.0,698
2563,northeast,m,bachelor,corporate auto,suv,8194,54950,103,0.0,481
2568,northeast,f,college,personal auto,two-door car,2885,77748,72,0.0,7
2569,northeast,f,bachelor,personal auto,two-door car,4884,19096,64,0.0,375
2570,central,f,master,personal auto,four-door car,9061,73876,112,0.0,419
2572,northeast,m,bachelor,personal auto,suv,11178,20742,100,0.0,456
2573,central,m,college,corporate auto,suv,4364,44804,114,0.0,778
2575,northeast,f,bachelor,corporate auto,two-door car,4926,49185,61,0.0,127
2577,northeast,f,bachelor,personal auto,suv,5149,26877,131,0.0,629
2579,west,m,bachelor,special auto,four-door car,2539,99824,63,0.0,302
2580,west,m,bachelor,personal auto,four-door car,10499,30352,89,0.0,146
2581,northeast,m,college,corporate auto,two-door car,2449,37707,69,0.0,331
2582,northeast,m,bachelor,personal auto,two-door car,6057,27681,83,0.0,398
2583,central,f,bachelor,personal auto,two-door car,8296,85478,103,0.0,224
2586,central,f,high school or below,personal auto,suv,11470,10384,151,0.0,914
2587,west,m,doctor,personal auto,two-door car,3557,17272,93,0.0,446
2588,central,f,college,personal auto,suv,8317,64367,104,0.0,96
2589,northeast,m,bachelor,personal auto,two-door car,7602,47519,96,0.0,245
2590,central,m,college,special auto,two-door car,9427,26263,85,0.0,475
2591,northeast,m,bachelor,personal auto,two-door car,6419,37707,63,0.0,557
2592,west,f,high school or below,personal auto,two-door car,6788,37707,93,0.0,855
2593,west,f,high school or below,personal auto,two-door car,3359,77309,83,0.0,596
2594,northeast,f,college,personal auto,four-door car,2440,50876,61,0.0,171
2596,west,m,college,personal auto,four-door car,2310,22567,69,0.0,497
2597,west,m,bachelor,personal auto,four-door car,2542,63546,64,0.0,132
2598,central,m,high school or below,personal auto,four-door car,6414,37707,89,0.0,641
2599,northeast,f,college,personal auto,two-door car,2585,28137,65,0.0,312
2600,west,m,master,personal auto,four-door car,2961,22608,77,0.0,370
2603,east,m,high school or below,special auto,four-door car,5169,12430,73,0.0,350
2604,northeast,f,high school or below,personal auto,suv,4117,37707,116,0.0,1302
2605,east,m,high school or below,corporate auto,two-door car,5553,50470,71,0.0,377
2606,central,m,high school or below,personal auto,four-door car,7285,44788,61,0.0,386
2608,central,f,college,personal auto,suv,11044,29696,139,0.0,478
2609,northeast,f,college,special auto,four-door car,3531,26884,89,0.0,238
2610,west,m,college,personal auto,two-door car,2760,64388,69,0.0,331
2611,northeast,f,bachelor,personal auto,four-door car,6500,37707,61,0.0,293
2613,central,m,bachelor,special auto,suv,13083,73060,108,0.0,518
2614,northeast,m,bachelor,personal auto,two-door car,2151,37707,63,0.0,454
2615,central,f,bachelor,personal auto,suv,8448,61337,105,0.0,3
2616,central,m,college,corporate auto,two-door car,5075,37707,73,0.0,350
2617,central,f,bachelor,personal auto,four-door car,3528,59496,88,0.0,189
2621,central,f,college,personal auto,four-door car,5792,80480,72,0.0,243
2622,northeast,m,bachelor,personal auto,two-door car,7980,72734,66,0.0,195
2623,east,f,high school or below,personal auto,four-door car,2767,37707,72,0.0,22
2624,central,m,bachelor,personal auto,four-door car,2975,36548,76,0.0,547
2625,central,m,master,personal auto,suv,4179,62113,104,0.0,6
2626,central,m,college,personal auto,four-door car,4734,37707,67,0.0,747
2627,west,f,bachelor,personal auto,suv,4316,41252,109,0.0,514
2628,northeast,m,high school or below,personal auto,four-door car,6127,61139,76,0.0,365
2629,central,f,bachelor,corporate auto,two-door car,2695,26744,68,0.0,326
2630,west,f,bachelor,personal auto,suv,9338,37707,132,0.0,950
2634,west,m,high school or below,personal auto,sports car,9710,33190,123,0.0,41
2636,northeast,f,college,corporate auto,four-door car,4070,37707,117,0.0,610
2640,west,f,master,personal auto,four-door car,3353,63398,83,0.0,292
2641,northeast,m,master,personal auto,suv,8533,30092,108,0.0,192
2642,east,m,college,corporate auto,four-door car,2648,37876,69,0.0,300
2643,northeast,f,high school or below,corporate auto,four-door car,6072,12201,84,0.0,605
2644,northeast,m,college,personal auto,suv,9062,37970,115,0.0,125
2645,central,m,bachelor,corporate auto,four-door car,2532,28898,67,0.0,83
2646,northeast,f,high school or below,personal auto,four-door car,2467,23845,61,0.0,293
2649,west,m,bachelor,personal auto,four-door car,4481,37707,69,0.0,232
2653,west,m,master,personal auto,suv,5130,72433,126,0.0,343
2654,northeast,m,bachelor,personal auto,suv,12300,74586,103,0.0,494
2658,central,m,high school or below,personal auto,four-door car,6839,15871,89,0.0,427
2660,northeast,m,high school or below,corporate auto,two-door car,5712,24882,72,0.0,346
2661,central,f,college,personal auto,suv,5127,33169,128,0.0,614
2662,west,m,bachelor,corporate auto,four-door car,4985,86305,62,0.0,81
2663,northeast,m,high school or below,corporate auto,suv,4102,37707,112,0.0,538
2664,west,f,college,corporate auto,suv,4111,32210,103,0.0,494
2665,central,m,bachelor,personal auto,sports car,11086,69090,139,0.0,387
2666,west,f,high school or below,personal auto,four-door car,4746,37707,63,0.0,523
2672,central,m,bachelor,personal auto,suv,4555,90156,114,0.0,388
2674,west,f,bachelor,personal auto,suv,4744,83413,118,0.0,135
2675,central,m,college,personal auto,suv,4019,37707,118,0.0,566
2677,east,m,college,corporate auto,four-door car,2675,56342,69,0.0,331
2678,northeast,f,college,personal auto,sports car,9206,55542,117,0.0,311
2681,east,m,high school or below,personal auto,two-door car,3768,43412,94,0.0,510
2683,central,m,bachelor,personal auto,four-door car,11612,28915,76,0.0,365
2685,central,f,high school or below,personal auto,four-door car,2555,37707,70,0.0,336
2686,west,f,college,personal auto,four-door car,3227,91774,81,0.0,285
2687,east,m,high school or below,personal auto,four-door car,2227,27972,61,0.0,293
2688,west,m,bachelor,personal auto,four-door car,10623,37707,96,0.0,461
2690,west,f,college,personal auto,four-door car,5156,77857,64,0.0,161
2691,northeast,f,bachelor,personal auto,four-door car,4408,37707,62,0.0,114
2692,west,f,doctor,personal auto,four-door car,2955,56502,74,0.0,355
2693,northeast,m,bachelor,personal auto,four-door car,3901,95018,97,0.0,316
2695,west,m,bachelor,personal auto,two-door car,2813,72333,70,0.0,177
2696,central,m,high school or below,personal auto,suv,7197,37707,107,0.0,770
2697,central,m,bachelor,personal auto,four-door car,6301,47622,80,0.0,306
2698,central,f,bachelor,personal auto,suv,7799,37707,105,0.0,504
2701,northeast,m,college,personal auto,four-door car,2906,72211,73,0.0,45
2702,west,m,college,corporate auto,two-door car,6090,70892,76,0.0,207
2703,east,f,college,personal auto,four-door car,5016,49367,63,0.0,69
2705,east,m,master,personal auto,two-door car,5680,90353,70,0.0,73
2706,northeast,f,high school or below,personal auto,suv,4582,49558,115,0.0,552
2707,east,m,bachelor,personal auto,four-door car,8664,93485,72,0.0,127
2708,northeast,m,high school or below,personal auto,four-door car,5274,10629,74,0.0,533
2709,west,m,bachelor,personal auto,two-door car,2621,10237,72,0.0,254
2711,central,m,bachelor,personal auto,two-door car,5533,23241,70,0.0,504
2712,central,m,high school or below,personal auto,four-door car,5217,60861,66,0.0,65
2713,central,m,doctor,personal auto,suv,7860,21726,104,0.0,697
2715,west,f,bachelor,personal auto,two-door car,3352,29160,87,0.0,418
2716,west,m,high school or below,personal auto,two-door car,6732,37707,99,0.0,713
2718,west,f,college,personal auto,four-door car,4975,48139,63,0.0,329
2720,northeast,f,college,personal auto,two-door car,6086,13688,84,0.0,403
2721,west,m,college,corporate auto,four-door car,5017,37707,73,0.0,526
2722,central,f,high school or below,personal auto,four-door car,7342,27649,63,0.0,302
2723,central,f,master,personal auto,four-door car,3215,24191,80,0.0,104
2724,northeast,m,high school or below,corporate auto,four-door car,2534,37707,71,0.0,517
2725,northeast,f,high school or below,personal auto,four-door car,5341,58493,67,0.0,322
2726,west,f,high school or below,personal auto,two-door car,3645,82477,90,0.0,432
2727,northeast,f,college,special auto,four-door car,6382,88663,79,0.0,379
2728,central,f,high school or below,personal auto,suv,4304,74057,109,0.0,523
2731,west,m,bachelor,corporate auto,four-door car,2485,42012,63,0.0,41
2732,central,m,bachelor,personal auto,four-door car,8233,56021,69,0.0,280
2735,central,f,high school or below,personal auto,suv,4424,37707,125,0.0,900
2736,central,f,college,personal auto,two-door car,3692,37202,93,0.0,323
2740,west,f,bachelor,personal auto,suv,10419,80192,129,0.0,201
2741,northeast,m,bachelor,personal auto,suv,4140,35945,105,0.0,756
2742,northeast,m,college,corporate auto,four-door car,7628,93004,63,0.0,206
2743,east,m,high school or below,personal auto,four-door car,6162,37707,89,0.0,941
2746,central,f,college,personal auto,four-door car,5757,81491,72,0.0,62
2748,west,f,high school or below,personal auto,suv,5555,51705,139,0.0,545
2750,northeast,f,college,personal auto,two-door car,9595,31421,81,0.0,389
2751,central,m,bachelor,personal auto,suv,5412,81531,135,0.0,420
2753,west,f,college,corporate auto,four-door car,7732,37386,97,0.0,466
2755,northeast,f,college,corporate auto,four-door car,5511,99553,68,0.0,112
2756,central,f,bachelor,corporate auto,suv,11158,37707,161,0.0,1159
2758,central,f,college,personal auto,four-door car,2658,22724,69,0.0,9
2759,northeast,f,college,corporate auto,suv,8827,26320,111,0.0,604
2760,central,m,bachelor,personal auto,four-door car,4713,37707,69,0.0,807
