state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
1515,northeast,m,bachelor,2863,37707,79,0.0,personal auto,two-door car,169
1516,central,f,college,7201,37707,66,0.0,corporate auto,four-door car,317
1517,northeast,m,high school or below,30909,57659,111,0.0,personal auto,four-door car,756
1518,northeast,f,bachelor,8171,95241,68,1.0,personal auto,four-door car,88
1519,central,m,college,2878,38870,74,0.0,special auto,four-door car,145
1520,west,f,high school or below,8478,13870,109,0.0,personal auto,suv,550
1521,central,m,bachelor,8647,25964,76,2.0,corporate auto,four-door car,365
1522,west,f,high school or below,4756,72193,118,0.0,personal auto,four-door car,553
1524,central,f,bachelor,4463,37707,73,3.0,personal auto,two-door car,350
1526,northeast,m,college,6006,39482,77,0.0,corporate auto,four-door car,278
1527,northeast,m,high school or below,10010,66371,125,0.0,personal auto,suv,43
1528,west,m,bachelor,26305,35300,74,0.0,personal auto,four-door car,226
1529,west,f,doctor,7097,67735,88,0.0,corporate auto,four-door car,3
1530,west,m,college,2860,98879,73,1.0,personal auto,four-door car,109
1531,northeast,m,high school or below,29590,37707,108,0.0,corporate auto,suv,778
1532,northeast,m,master,9667,72885,124,2.0,personal auto,suv,234
1533,northeast,f,bachelor,21942,26378,70,1.0,personal auto,four-door car,148
1534,northeast,m,bachelor,5548,67798,69,0.0,personal auto,four-door car,331
1535,east,f,master,7753,41275,96,0.0,personal auto,four-door car,41
1536,west,m,college,2770,39646,70,0.0,personal auto,four-door car,280
1537,northeast,m,high school or below,2545,71868,65,0.0,corporate auto,four-door car,312
1538,northeast,f,high school or below,8629,59107,107,0.0,personal auto,suv,481
1539,central,m,bachelor,4915,37707,70,0.0,personal auto,four-door car,504
1540,central,f,college,4897,36428,124,0.0,personal auto,suv,559
1541,central,f,doctor,4014,93284,99,0.0,personal auto,two-door car,475
1542,northeast,f,college,10835,34612,91,1.0,special auto,four-door car,655
1544,northeast,m,college,29577,37707,106,0.0,personal auto,two-door car,763
1545,central,m,high school or below,9260,17109,62,0.0,personal auto,two-door car,298
1546,west,f,college,6300,29539,85,0.0,personal auto,four-door car,408
1547,northeast,m,college,6032,49539,79,0.0,personal auto,two-door car,287
1548,west,f,high school or below,2300,37707,66,1.0,corporate auto,four-door car,475
1549,northeast,m,college,6863,25352,173,0.0,special auto,sports car,830
1550,northeast,m,college,2798,63223,71,0.0,personal auto,two-door car,398
1551,central,m,bachelor,4479,18505,66,4.0,personal auto,four-door car,317
1552,west,f,college,4572,91485,114,0.0,personal auto,suv,393
1553,northeast,f,college,6105,18690,80,0.0,personal auto,four-door car,18
1554,east,m,college,3298,37707,91,0.0,personal auto,two-door car,655
1555,central,f,bachelor,2640,69819,66,0.0,personal auto,four-door car,21
1556,west,m,bachelor,13780,25708,118,0.0,personal auto,four-door car,566
1557,central,m,doctor,3703,33738,95,0.0,personal auto,two-door car,542
1558,central,f,bachelor,5789,75845,72,0.0,personal auto,four-door car,74
1559,central,m,high school or below,13465,83392,112,0.0,personal auto,suv,524
1560,west,f,bachelor,6331,37707,87,0.0,personal auto,two-door car,95
1561,west,m,college,3838,76375,96,0.0,personal auto,four-door car,138
1562,northeast,m,college,11275,37707,114,0.0,personal auto,four-door car,821
1563,west,m,college,6052,32330,79,1.0,corporate auto,four-door car,379
1564,west,f,bachelor,33452,85689,92,0.0,corporate auto,four-door car,238
1565,central,f,bachelor,5612,37707,158,0.0,personal auto,suv,1138
1566,central,f,college,5607,39507,70,0.0,corporate auto,two-door car,284
1567,west,f,bachelor,8835,22373,112,0.0,personal auto,suv,420
1568,west,f,college,3797,20217,96,2.0,personal auto,four-door car,513
1569,northeast,m,bachelor,3937,19245,106,0.0,personal auto,suv,509
1570,central,f,high school or below,37151,17774,108,0.0,personal auto,suv,116
1571,northeast,m,bachelor,4816,80355,62,1.0,corporate auto,two-door car,83
1572,central,m,bachelor,2853,65099,73,2.0,special auto,four-door car,350
1573,northeast,m,bachelor,2467,37707,73,0.0,personal auto,two-door car,526
1575,northeast,f,high school or below,4594,37707,63,1.0,personal auto,four-door car,139
1576,central,m,college,8587,37707,118,0.0,personal auto,suv,566
1577,west,f,bachelor,4092,38692,102,0.0,personal auto,four-door car,502
1578,west,f,master,5182,97131,64,0.0,personal auto,four-door car,307
1579,northeast,f,bachelor,14230,78046,119,2.0,personal auto,suv,759
1580,central,m,bachelor,2447,82225,61,0.0,personal auto,two-door car,293
1581,west,f,high school or below,4759,37707,64,0.0,personal auto,four-door car,608
1582,central,m,college,6646,21144,86,0.0,personal auto,two-door car,391
1583,northeast,f,high school or below,8718,36645,112,0.0,corporate auto,four-door car,614
1584,central,m,high school or below,4111,31842,108,0.0,special auto,suv,406
1585,west,f,master,9810,37707,131,0.0,corporate auto,sports car,629
1586,northeast,f,college,4993,75090,63,1.0,personal auto,four-door car,101
1587,northeast,f,bachelor,4464,37707,62,0.0,personal auto,four-door car,567
1588,northeast,f,high school or below,2895,72014,72,0.0,personal auto,four-door car,188
1589,central,m,high school or below,3185,13512,92,0.0,personal auto,two-door car,442
1590,northeast,m,high school or below,9343,75909,117,0.0,special auto,sports car,562
1591,northeast,f,high school or below,7297,18884,64,0.0,personal auto,four-door car,307
1592,central,m,high school or below,5569,37707,79,1.0,personal auto,two-door car,407
1593,northeast,f,bachelor,7627,37707,74,1.0,corporate auto,four-door car,807
1594,central,m,college,4637,26802,66,1.0,corporate auto,two-door car,317
1595,west,f,college,5329,99839,66,0.0,personal auto,four-door car,468
1596,west,f,college,2478,24186,64,0.0,personal auto,four-door car,307
1597,west,m,college,5523,46971,69,0.0,corporate auto,four-door car,120
1598,northeast,f,bachelor,8587,37707,83,0.0,personal auto,four-door car,484
1599,northeast,f,bachelor,8105,37707,117,1.0,personal auto,sports car,842
1600,central,m,bachelor,2357,37707,69,0.0,personal auto,two-door car,497
1601,northeast,f,college,2004,37707,66,4.0,personal auto,four-door car,317
1602,central,m,bachelor,2810,26790,71,0.0,personal auto,two-door car,341
1603,central,m,college,2380,37707,71,0.0,special auto,four-door car,747
1604,central,m,bachelor,2410,16258,64,0.0,personal auto,two-door car,307
1605,west,m,college,2545,91169,65,0.0,personal auto,two-door car,140
1606,west,m,college,10154,37707,90,0.0,corporate auto,four-door car,432
1607,west,m,bachelor,2301,25905,63,0.0,personal auto,four-door car,302
1608,northeast,m,high school or below,10145,44577,131,0.0,personal auto,suv,640
1609,northeast,m,high school or below,2599,53021,68,4.0,personal auto,four-door car,326
1610,northeast,m,high school or below,6689,56980,84,0.0,personal auto,two-door car,599
1611,west,f,college,2722,97719,67,0.0,personal auto,four-door car,319
1612,central,m,bachelor,7525,49530,63,0.0,personal auto,four-door car,278
1613,central,m,master,9488,56233,79,0.0,corporate auto,four-door car,559
1614,central,f,high school or below,5978,79140,74,0.0,corporate auto,four-door car,488
1615,central,f,bachelor,6411,13088,82,0.0,personal auto,four-door car,394
1616,central,f,high school or below,2944,73601,73,0.0,personal auto,four-door car,340
1617,west,f,bachelor,6686,31517,84,2.0,personal auto,two-door car,605
1618,northeast,m,college,4693,37707,69,0.0,personal auto,two-door car,549
1619,west,m,high school or below,4503,37707,69,2.0,personal auto,four-door car,497
1620,west,m,high school or below,16505,42148,104,0.0,personal auto,suv,367
1621,northeast,f,high school or below,9460,37707,133,0.0,personal auto,suv,1443
1622,east,f,high school or below,7932,23769,69,0.0,personal auto,four-door car,470
1623,central,f,high school or below,7974,37707,109,0.0,personal auto,suv,523
1624,northeast,f,doctor,5054,22241,63,0.0,personal auto,four-door car,343
1625,central,f,bachelor,5658,23550,72,0.0,personal auto,four-door car,223
1626,west,f,master,14917,37707,190,0.0,personal auto,luxury car,1368
1627,west,m,high school or below,13047,71024,65,1.0,corporate auto,four-door car,267
1628,northeast,f,bachelor,38411,71644,105,0.0,corporate auto,suv,504
1629,west,f,master,5069,50363,63,0.0,personal auto,four-door car,13
1630,west,f,bachelor,10979,92914,136,0.0,personal auto,sports car,979
1631,east,m,college,39770,16645,117,0.0,personal auto,suv,697
1632,west,m,college,6559,37707,94,0.0,personal auto,four-door car,451
1634,northeast,m,bachelor,16473,22828,106,0.0,personal auto,suv,509
1636,northeast,m,college,26201,68507,110,0.0,personal auto,suv,140
1637,central,f,college,3272,37707,87,0.0,personal auto,four-door car,626
1638,central,m,college,4682,37929,61,0.0,corporate auto,four-door car,120
1639,west,m,bachelor,6496,89285,81,0.0,personal auto,four-door car,109
1640,northeast,f,high school or below,7447,98235,93,0.0,personal auto,four-door car,377
1641,northeast,f,bachelor,4549,23650,61,2.0,personal auto,four-door car,14
1642,west,f,bachelor,5200,90167,131,0.0,corporate auto,suv,524
1643,northeast,m,high school or below,10594,64669,131,0.0,personal auto,sports car,629
1645,northeast,f,bachelor,8182,37707,109,0.0,corporate auto,suv,523
1646,northeast,m,college,2697,60462,68,1.0,personal auto,four-door car,217
1647,west,f,college,10369,37707,69,0.0,corporate auto,four-door car,454
1648,central,m,doctor,2491,36631,62,0.0,personal auto,four-door car,68
1649,northeast,f,high school or below,5396,40308,136,0.0,corporate auto,sports car,653
1650,northeast,f,bachelor,4653,37707,64,1.0,corporate auto,four-door car,307
1651,central,m,bachelor,9016,37707,130,0.0,corporate auto,suv,936
1652,northeast,m,high school or below,7857,85067,65,0.0,personal auto,four-door car,256
1653,west,f,high school or below,6763,37707,64,0.0,personal auto,four-door car,461
1655,northeast,f,doctor,5219,38704,65,0.0,personal auto,four-door car,10
1657,west,f,college,7653,57446,64,0.0,personal auto,four-door car,77
1658,west,m,bachelor,4967,37707,73,0.0,personal auto,two-door car,526
1659,west,f,high school or below,8927,96768,111,2.0,personal auto,four-door car,3
1660,west,m,bachelor,21424,37707,65,0.0,corporate auto,two-door car,312
1661,central,m,bachelor,15481,37707,180,3.0,corporate auto,suv,1296
1662,northeast,f,college,8715,37707,118,0.0,personal auto,suv,566
1663,west,m,master,5577,77265,69,0.0,special auto,two-door car,171
1664,northeast,f,high school or below,8861,48736,111,0.0,personal auto,suv,286
1665,east,f,high school or below,13451,37707,126,0.0,corporate auto,suv,907
1666,west,f,high school or below,6464,37707,89,0.0,personal auto,two-door car,641
1667,central,f,high school or below,3877,37707,108,0.0,personal auto,two-door car,1099
1668,central,f,high school or below,10104,46667,129,1.0,corporate auto,suv,60
1670,central,m,high school or below,3935,84229,98,0.0,personal auto,four-door car,470
1671,central,m,college,2220,37707,62,0.0,personal auto,two-door car,298
1672,northeast,f,college,7975,26118,101,0.0,personal auto,four-door car,485
1673,northeast,f,high school or below,8708,37707,118,0.0,personal auto,suv,1380
1674,east,m,college,2907,24049,74,0.0,personal auto,four-door car,491
1675,central,f,master,4881,37998,61,0.0,special auto,four-door car,293
1676,central,f,doctor,3653,37707,95,0.0,personal auto,four-door car,456
1677,northeast,m,college,12780,37707,184,0.0,personal auto,luxury suv,1395
1679,northeast,m,bachelor,4219,62396,107,0.0,personal auto,suv,693
1680,west,m,college,5817,99239,74,0.0,personal auto,four-door car,379
1681,northeast,m,college,7908,94303,65,0.0,personal auto,four-door car,150
1683,central,f,college,3561,76769,88,0.0,corporate auto,four-door car,170
1684,northeast,m,high school or below,5064,78735,63,1.0,personal auto,four-door car,226
1685,northeast,m,bachelor,8490,37707,130,0.0,personal auto,sports car,624
1686,west,f,bachelor,2425,37707,67,1.0,corporate auto,four-door car,426
1687,west,f,doctor,27542,50494,114,0.0,personal auto,two-door car,491
1688,west,f,high school or below,8829,86721,110,1.0,corporate auto,two-door car,373
1689,west,f,bachelor,5059,67371,63,0.0,personal auto,four-door car,87
1690,central,m,high school or below,6716,21835,90,0.0,corporate auto,two-door car,432
1691,central,m,high school or below,2672,62452,67,0.0,corporate auto,two-door car,408
1692,west,f,college,8099,37707,72,0.0,personal auto,four-door car,518
1693,west,m,high school or below,2796,69809,70,0.0,personal auto,two-door car,112
1694,east,m,high school or below,2972,37707,84,0.0,personal auto,two-door car,605
1695,central,m,high school or below,6288,37707,84,0.0,special auto,two-door car,403
1696,northeast,f,college,61850,37707,238,0.0,personal auto,luxury suv,1142
1697,central,f,college,10394,22601,88,0.0,personal auto,four-door car,634
1699,northeast,f,bachelor,35014,37707,133,0.0,personal auto,suv,533
1701,west,f,bachelor,3637,34986,91,0.0,corporate auto,four-door car,74
1702,central,m,high school or below,2785,66378,71,0.0,corporate auto,two-door car,158
1703,west,f,high school or below,7715,48784,96,0.0,corporate auto,four-door car,252
1705,northeast,f,college,19088,32775,61,0.0,personal auto,four-door car,252
1706,northeast,m,bachelor,9156,61200,118,0.0,personal auto,four-door car,566
1707,west,m,master,5455,66334,69,0.0,personal auto,two-door car,331
1708,central,f,doctor,2470,18661,62,0.0,personal auto,two-door car,197
1709,northeast,f,college,7810,37707,111,0.0,personal auto,two-door car,533
1710,northeast,m,bachelor,6939,53133,91,0.0,personal auto,two-door car,652
1711,west,f,bachelor,5319,25134,67,0.0,personal auto,four-door car,322
1712,central,m,college,13728,37707,126,0.0,personal auto,suv,605
1713,central,m,high school or below,5363,64324,67,0.0,personal auto,four-door car,322
1714,northeast,f,bachelor,3265,25820,82,0.0,corporate auto,four-door car,394
1715,west,m,bachelor,2447,29152,67,0.0,personal auto,two-door car,255
1716,east,f,college,4197,37707,114,0.0,personal auto,sports car,1182
1717,central,m,master,12913,62448,107,0.0,personal auto,suv,514
1718,west,f,high school or below,23866,37707,81,1.0,personal auto,four-door car,389
1719,central,m,college,4633,27132,63,1.0,personal auto,four-door car,302
1720,northeast,f,bachelor,8196,21706,108,0.0,personal auto,suv,518
1721,central,f,bachelor,2167,37707,61,0.0,personal auto,four-door car,439
1722,central,m,high school or below,5620,66620,70,0.0,personal auto,four-door car,336
1723,central,f,bachelor,6102,42800,153,1.0,personal auto,sports car,734
1725,central,f,high school or below,14945,37707,68,0.0,personal auto,four-door car,326
1726,west,f,high school or below,10820,37433,90,0.0,personal auto,four-door car,410
1727,northeast,m,doctor,15839,44930,132,0.0,personal auto,suv,111
1728,central,f,bachelor,6451,30857,81,0.0,personal auto,two-door car,309
1729,central,f,bachelor,5565,46507,73,4.0,personal auto,two-door car,326
1730,west,m,bachelor,2445,48473,63,0.0,personal auto,four-door car,302
1731,northeast,m,bachelor,2641,59961,68,0.0,personal auto,four-door car,292
1732,west,f,high school or below,5823,88359,73,0.0,personal auto,two-door car,36
1733,west,m,college,5756,97607,71,0.0,personal auto,two-door car,60
1734,west,m,high school or below,10409,20228,101,1.0,corporate auto,suv,524
1735,west,m,college,8248,49009,105,0.0,personal auto,four-door car,504
1737,northeast,m,bachelor,16331,78374,82,0.0,personal auto,four-door car,207
1738,west,m,high school or below,20474,95621,66,5.0,personal auto,two-door car,352
1739,northeast,m,high school or below,9415,15741,132,0.0,special auto,suv,634
1740,northeast,m,bachelor,9733,38279,82,0.0,personal auto,two-door car,64
1741,northeast,m,master,4611,37707,61,0.0,personal auto,four-door car,293
1742,central,m,high school or below,14511,60120,182,0.0,personal auto,luxury car,716
1744,northeast,f,college,8084,37707,116,0.0,personal auto,suv,820
1745,west,f,college,2570,69446,64,1.0,personal auto,four-door car,27
1746,east,f,bachelor,2274,37707,73,4.0,personal auto,four-door car,801
1747,west,m,college,3995,37707,119,0.0,corporate auto,suv,857
1748,west,f,bachelor,7282,50886,95,1.0,personal auto,two-door car,620
1749,northeast,f,bachelor,2470,55257,64,3.0,personal auto,two-door car,210
1750,west,f,college,2451,61883,62,0.0,personal auto,four-door car,18
1751,northeast,m,college,10856,37233,136,0.0,personal auto,suv,243
1752,central,m,master,9076,37722,116,0.0,personal auto,sports car,158
1753,west,f,master,4655,81883,114,0.0,personal auto,four-door car,376
1754,northeast,m,bachelor,15395,35822,197,0.0,personal auto,suv,1405
1755,northeast,f,bachelor,9421,23059,126,0.0,corporate auto,sports car,96
1756,northeast,f,bachelor,2641,97666,66,0.0,personal auto,four-door car,136
1757,central,m,master,8510,26057,74,0.0,corporate auto,four-door car,524
1758,central,m,doctor,3436,30817,88,0.0,corporate auto,four-door car,92
1759,northeast,f,college,4349,75648,108,0.0,personal auto,suv,113
1760,northeast,m,high school or below,9673,37707,96,0.0,corporate auto,four-door car,1121
1761,central,f,high school or below,15266,25852,135,1.0,personal auto,sports car,648
1762,central,m,doctor,7551,37707,68,1.0,personal auto,four-door car,100
1763,east,m,bachelor,9939,13207,137,2.0,personal auto,suv,393
1764,northeast,f,high school or below,14962,37707,82,0.0,personal auto,four-door car,394
1765,central,m,high school or below,7888,32150,98,0.0,personal auto,two-door car,470
1766,northeast,m,college,2894,52674,73,0.0,personal auto,two-door car,167
1767,west,m,college,4398,91653,111,0.0,corporate auto,suv,344
1768,central,f,high school or below,5781,69512,72,0.0,personal auto,two-door car,197
1769,west,f,high school or below,7720,67332,192,0.0,personal auto,luxury car,922
1770,east,m,high school or below,3046,37707,98,2.0,personal auto,four-door car,706
1771,central,m,college,2590,53304,65,0.0,personal auto,four-door car,116
1772,west,m,college,10155,28754,89,0.0,corporate auto,four-door car,427
1773,central,f,high school or below,2552,50201,64,0.0,personal auto,two-door car,100
1774,west,f,bachelor,9404,51593,80,2.0,personal auto,two-door car,203
1775,northeast,f,bachelor,5678,37707,76,0.0,personal auto,four-door car,365
1776,west,f,high school or below,3723,31974,92,0.0,personal auto,four-door car,388
1777,northeast,m,bachelor,8417,31756,107,0.0,corporate auto,suv,416
1778,west,f,college,2520,37707,68,0.0,personal auto,four-door car,326
1779,central,f,bachelor,8186,20369,105,0.0,personal auto,suv,1127
1780,east,m,college,4230,37707,126,0.0,personal auto,suv,907
1781,west,f,high school or below,5074,66933,63,0.0,personal auto,four-door car,161
1782,west,f,high school or below,12982,39843,109,1.0,personal auto,four-door car,523
1783,central,m,doctor,2744,16686,71,0.0,personal auto,four-door car,126
1784,northeast,f,bachelor,13226,37707,190,1.0,special auto,luxury car,1398
1785,west,f,high school or below,13178,80237,108,0.0,personal auto,suv,777
1786,west,m,high school or below,8794,72897,73,0.0,personal auto,two-door car,508
1787,west,m,bachelor,3245,46435,82,0.0,corporate auto,two-door car,350
1788,central,m,high school or below,4625,37707,68,2.0,personal auto,four-door car,469
1789,northeast,f,high school or below,4372,23124,112,0.0,special auto,sports car,538
1790,central,m,high school or below,9090,45310,229,0.0,personal auto,luxury suv,1550
1791,northeast,m,college,10778,53437,91,0.0,personal auto,two-door car,437
1792,east,f,college,5007,37707,73,1.0,personal auto,four-door car,656
1793,central,f,college,5867,27880,74,0.0,personal auto,four-door car,199
1794,west,f,bachelor,14915,45963,63,2.0,personal auto,four-door car,302
1795,northeast,f,bachelor,5107,35625,65,1.0,personal auto,four-door car,289
1796,central,f,high school or below,3537,31727,92,0.0,personal auto,four-door car,496
1797,central,f,high school or below,2840,53071,72,0.0,corporate auto,four-door car,386
1798,west,m,high school or below,2940,97735,73,0.0,corporate auto,four-door car,189
1799,west,m,high school or below,2777,37707,77,0.0,personal auto,four-door car,554
1800,northeast,f,master,5477,52218,68,0.0,corporate auto,four-door car,34
1801,west,f,bachelor,3265,25820,82,0.0,personal auto,four-door car,394
1802,west,f,high school or below,8066,17950,71,2.0,special auto,two-door car,341
1803,central,f,high school or below,3645,82477,90,0.0,personal auto,two-door car,432
1804,central,f,college,6611,37707,95,0.0,personal auto,four-door car,564
1805,northeast,m,college,7582,64801,64,0.0,personal auto,four-door car,268
1807,central,f,doctor,7124,61233,89,2.0,personal auto,four-door car,181
1808,central,f,bachelor,9436,37707,129,0.0,corporate auto,suv,628
1809,central,f,bachelor,8256,62902,69,0.0,personal auto,two-door car,159
1810,central,m,high school or below,5091,20244,65,0.0,personal auto,four-door car,312
1811,west,f,high school or below,5882,86812,73,0.0,personal auto,four-door car,45
1812,west,f,college,7685,62192,98,0.0,special auto,two-door car,243
1813,northeast,f,college,10397,34948,130,0.0,personal auto,suv,444
1814,northeast,m,bachelor,8546,35456,109,0.0,personal auto,sports car,505
1815,northeast,m,college,4408,80640,111,0.0,personal auto,suv,313
1816,central,m,high school or below,2563,37707,74,0.0,corporate auto,four-door car,663
1817,northeast,m,high school or below,14887,91193,185,1.0,personal auto,luxury suv,2
1818,central,f,high school or below,24339,73692,67,0.0,personal auto,two-door car,25
1819,central,f,high school or below,7453,12195,101,0.0,personal auto,four-door car,671
1820,east,f,bachelor,3982,52801,100,0.0,personal auto,suv,475
1821,central,m,college,16060,37707,87,0.0,personal auto,four-door car,418
1822,west,f,high school or below,5111,37707,72,2.0,personal auto,four-door car,595
1823,central,f,bachelor,7440,37707,108,0.0,personal auto,suv,518
1824,east,m,bachelor,4975,75644,65,3.0,corporate auto,two-door car,468
1825,west,f,high school or below,17817,60192,220,0.0,personal auto,luxury car,1056
1826,northeast,f,bachelor,6238,37707,90,2.0,personal auto,four-door car,134
1827,northeast,m,bachelor,2683,37707,74,0.0,corporate auto,two-door car,355
1828,west,m,college,2837,29242,73,0.0,personal auto,two-door car,350
1829,northeast,f,bachelor,4119,69379,103,0.0,personal auto,two-door car,494
1831,central,f,doctor,4140,45281,104,1.0,personal auto,sports car,65
1832,central,f,bachelor,4100,51193,104,2.0,personal auto,two-door car,97
1833,northeast,f,bachelor,5278,62074,67,0.0,corporate auto,four-door car,49
1834,west,f,bachelor,8057,64304,68,0.0,corporate auto,two-door car,65
1835,northeast,m,bachelor,9185,73795,116,1.0,personal auto,suv,502
1836,northeast,f,college,15418,84376,96,0.0,personal auto,four-door car,44
1837,central,f,high school or below,6829,37707,66,1.0,personal auto,two-door car,471
1838,northeast,m,high school or below,8501,79153,106,0.0,special auto,suv,509
1839,northeast,m,college,8847,17950,118,0.0,personal auto,suv,425
1840,central,f,college,2841,37707,80,1.0,personal auto,two-door car,963
1841,northeast,m,bachelor,15985,37707,69,0.0,personal auto,two-door car,331
1842,northeast,f,college,18542,37707,72,0.0,corporate auto,four-door car,623
1843,central,f,college,2610,58139,65,1.0,corporate auto,four-door car,33
1844,west,m,high school or below,7902,37707,113,0.0,personal auto,suv,1258
1845,west,f,high school or below,17996,80991,223,0.0,personal auto,luxury suv,937
1846,west,f,college,5022,69678,126,0.0,personal auto,sports car,307
1847,central,m,bachelor,4655,37707,67,0.0,personal auto,two-door car,577
1850,west,m,college,8596,76763,108,0.0,personal auto,suv,186
1851,east,f,high school or below,15626,50461,131,0.0,personal auto,sports car,810
1852,west,m,high school or below,2798,69604,70,0.0,corporate auto,four-door car,112
1853,west,m,master,5345,22908,68,0.0,personal auto,four-door car,388
1854,west,f,college,17558,68273,146,0.0,personal auto,sports car,76
1855,west,m,college,4596,95550,116,1.0,personal auto,suv,382
1856,central,m,bachelor,5794,88370,74,1.0,personal auto,four-door car,355
1857,northeast,f,doctor,5332,68931,66,0.0,corporate auto,four-door car,310
1858,northeast,f,bachelor,6680,24432,87,3.0,corporate auto,two-door car,71
1859,northeast,m,college,7911,77577,199,1.0,personal auto,luxury suv,36
1860,west,m,high school or below,12517,12607,110,0.0,personal auto,suv,528
1861,northeast,f,college,2325,37707,63,0.0,personal auto,four-door car,302
1862,northeast,f,bachelor,3964,23474,102,0.0,corporate auto,suv,490
1863,west,m,bachelor,7486,37707,113,0.0,personal auto,suv,814
1864,northeast,m,bachelor,6708,37707,65,0.0,personal auto,four-door car,360
1865,west,m,high school or below,12902,98478,106,0.0,corporate auto,four-door car,509
1866,central,m,college,5927,23091,96,5.0,personal auto,four-door car,461
1867,central,m,college,5149,51071,65,0.0,personal auto,two-door car,312
1868,northeast,f,bachelor,6827,37707,103,2.0,personal auto,suv,2
1869,central,f,bachelor,4670,69921,118,2.0,personal auto,two-door car,373
1871,northeast,f,high school or below,6962,37707,63,0.0,personal auto,four-door car,41
1872,northeast,m,high school or below,28511,27607,104,0.0,corporate auto,four-door car,641
1873,northeast,f,master,8625,43610,106,0.0,personal auto,sports car,509
1874,northeast,f,bachelor,3382,37707,91,0.0,personal auto,four-door car,437
1875,west,m,bachelor,2320,14660,61,0.0,personal auto,four-door car,397
1876,central,f,high school or below,8807,26864,78,0.0,special auto,four-door car,374
1878,west,f,bachelor,7854,42582,99,0.0,corporate auto,four-door car,629
1879,central,m,college,9817,37256,62,0.0,personal auto,four-door car,129
1880,central,m,college,22104,37707,102,0.0,corporate auto,suv,490
1881,east,m,high school or below,6689,56980,84,0.0,corporate auto,two-door car,599
1882,northeast,m,master,11323,98254,94,3.0,corporate auto,four-door car,230
1884,central,m,bachelor,3139,31177,79,0.0,personal auto,four-door car,906
1885,west,f,high school or below,2617,98338,65,0.0,personal auto,four-door car,36
1886,west,f,high school or below,3733,37707,106,0.0,personal auto,sports car,879
1887,west,f,bachelor,4434,37707,65,0.0,special auto,four-door car,312
1888,east,m,college,3479,29938,90,0.0,corporate auto,four-door car,562
1889,west,f,bachelor,5010,37707,69,0.0,personal auto,four-door car,497
1890,west,m,bachelor,8417,24285,111,0.0,personal auto,two-door car,1258
1891,west,m,master,4484,32983,113,0.0,personal auto,suv,467
1892,west,f,doctor,5125,37707,134,0.0,personal auto,suv,643
1893,northeast,f,bachelor,3721,71333,93,0.0,personal auto,four-door car,344
1894,central,f,master,9989,33157,124,0.0,personal auto,suv,286
1895,northeast,f,college,3342,37707,91,0.0,personal auto,four-door car,437
1896,west,m,bachelor,7525,36580,64,1.0,personal auto,four-door car,461
1898,west,f,high school or below,2949,78596,73,0.0,personal auto,four-door car,106
1899,central,f,bachelor,5180,35143,65,0.0,corporate auto,four-door car,171
1900,central,m,master,3225,29606,81,0.0,personal auto,four-door car,438
1901,central,m,master,8850,53228,73,0.0,special auto,four-door car,137
1903,northeast,f,bachelor,2359,19864,63,0.0,personal auto,four-door car,352
1904,central,f,high school or below,4669,76157,116,0.0,personal auto,two-door car,557
1905,west,m,high school or below,6366,44368,80,0.0,personal auto,two-door car,384
1906,northeast,m,college,25582,27961,72,0.0,personal auto,two-door car,346
1907,west,f,college,8146,92777,68,2.0,personal auto,two-door car,158
1908,northeast,f,master,5412,55992,67,0.0,personal auto,four-door car,191
1910,central,f,high school or below,4755,21926,63,0.0,personal auto,four-door car,302
1911,northeast,f,bachelor,4995,82413,62,0.0,personal auto,four-door car,298
1912,west,m,bachelor,2825,48008,73,4.0,personal auto,four-door car,137
1913,west,f,college,5908,87796,74,0.0,personal auto,four-door car,355
1914,northeast,m,bachelor,4989,38928,64,0.0,personal auto,four-door car,327
1915,central,m,bachelor,7405,58779,64,1.0,personal auto,four-door car,307
1916,east,f,doctor,16553,98912,135,0.0,personal auto,suv,715
1917,northeast,f,college,15102,37707,137,0.0,personal auto,suv,33
1918,central,f,high school or below,9119,33882,114,0.0,personal auto,suv,273
1919,northeast,m,bachelor,2760,92296,69,0.0,personal auto,two-door car,331
1920,northeast,f,bachelor,15252,63287,127,0.0,personal auto,suv,617
1921,central,f,high school or below,14517,74871,178,0.0,personal auto,suv,854
1922,central,f,high school or below,5597,37995,139,0.0,personal auto,suv,667
1923,west,f,high school or below,19323,37707,139,1.0,personal auto,suv,1389
1925,central,m,high school or below,3176,64706,81,0.0,personal auto,two-door car,373
1926,northeast,m,bachelor,4526,37707,64,1.0,personal auto,four-door car,307
1927,central,m,college,2574,29500,67,0.0,corporate auto,four-door car,322
1928,central,m,college,6657,37707,69,1.0,personal auto,four-door car,497
1929,central,f,bachelor,27565,26410,91,0.0,corporate auto,four-door car,185
1930,west,m,master,3843,97832,95,0.0,personal auto,two-door car,108
1931,northeast,f,college,3808,94903,94,0.0,personal auto,two-door car,451
1932,northeast,f,high school or below,15001,62473,76,1.0,personal auto,four-door car,508
1933,central,m,college,5573,85704,69,0.0,personal auto,four-door car,325
1934,northeast,m,bachelor,6222,74270,78,0.0,corporate auto,two-door car,122
1935,northeast,f,master,5097,22886,65,0.0,personal auto,four-door car,312
1936,west,f,college,6183,36464,78,0.0,personal auto,four-door car,94
1937,west,f,bachelor,9389,33599,80,0.0,personal auto,four-door car,111
